Word,Lang,Area,,Admin,Values
bumullun,Albanian,Albania,,Albania,1
toohoohoordenen,Danish,Denmark,,Denmark,2
Lukkedoeren,Danish,Denmark,,Finland,1
ukkunun,Finnish,Finland,,France,5
tonnerronn,French,France,,Germany,5
kurun,Breton,France,,Greece,5
klikkak,French,France,,Iceland,1
fermoyporter,French,France,,India,1
toux,French,France,,Iran,1
klatscha,German,Germany,,Ireland,8
whura,German,Germany,,Italy,5
tooryzooy,German,Germany,,Japan,1
gansumum,German,Germany,,Latvia,1
husstenhassten,German,Germany,,Lithuania,2
bronn,Greek,Greece,,Malaysia,1
creppycrotty,Greek,Greece,,Norway,12
strumpa,Greek,Greece,,Portugal,1
sphalnabortan,Greek,Greece,,Russia,5
hobixha,Greek,Greece,,Samoa,1
thuruma,Icelandic,Iceland,,Sweden,2
gharaghta,Hindi,India,,Turkey,2
barggruauya,Persian,Iran,,United Kingdom,35
hounawnskawn,Irish,Ireland,,Wales,1
thurnuk,Irish,Ireland,,,
graddagh,Irish,Ireland,,,
strippuck,Irish,Ireland,,,
dunandurras,Irish,Ireland,,,
whackfalltherdebble,Irish,Ireland,,,
parassannuaragheallachnatullaghmongan,Irish,Ireland,,,
cosaghcusagh,Irish,Ireland,,,
tuonn,Italian,Italy,,,
batta,Italian,Italy,,,
puttanach,Italian,Italy,,,
kewdylooshoo,Italian,Italy,,,
tussemtossem,Italian,Italy,,,
kamminarronnkonn,Japanese,Japan,,,
Perkodhus,Latvian,Latvia,,,
radidilli,Lithuanian,Lithuania,,,
nenny,Lithuanian,Lithuania,,,
ghundhur,Malay,Malaysia,,,
babadal,N/A,N/A,,,
lakkak,N/A,N/A,,,
semmihsammih,N/A,N/A,,,
nouith,N/A,N/A,,,
pkonpkot,N/A,N/A,,,
moecklenburg,N/A,N/A,,,
scorta,Latin,N/A,,,
porna,N/A,N/A,,,
kocksapas,N/A,N/A,,,
tippa,N/A,N/A,,,
tappa,N/A,N/A,,,
tupper,N/A,N/A,,,
damandamna,N/A,N/A,,,
Ullhod,Norwegian,Norway,,,
turdenweir,Norwegian,Norway,,,
mudgaard,Norwegian,Norway,,,
gringnir,Norwegian,Norway,,,
urdr,Norwegian,Norway,,,
molnir,Norwegian,Norway,,,
fenrir,Norwegian,Norway,,,
lukkilokki,Norwegian,Norway,,,
baugimand,Norwegian,Norway,,,
odrrerin,Norwegian,Norway,,,
surtkrinmgern,Norwegian,Norway,,,
rackinarockar,Norwegian,Norway,,,
trovarr,Portuguese,Portugal,,,
gromgremmit,Russian,Russia,,,
laskaklopatz,Russian,Russia,,,
Bladyughfoul,Russian,Russia,,,
sakroidverj,Russian,Russia,,,
cashlcarcarcaract,Russian,Russia,,,
faititilli,Samoan,Samoa,,,
appladdy,Swedish,Sweden,,,
whora,Swedish,Sweden,,,
gokgorlayor,Turkish,Turkey,,,
kapakkapuk,Turkish,Turkey,,,
thunn,English,United Kingdom,,,
thuna,English,United Kingdom,,,
appluddy,English,United Kingdom,,,
Thing,English,United Kingdom,,,
crookly,English,United Kingdom,,,
ex,English,United Kingdom,,,
in,English,United Kingdom,,,
every,English,United Kingdom,,,
pasture,English,United Kingdom,,,
six,English,United Kingdom,,,
dix,English,United Kingdom,,,
likence,English,United Kingdom,,,
him,English,United Kingdom,,,
around,English,United Kingdom,,,
hers,English,United Kingdom,,,
the,English,United Kingdom,,,
magger,English,United Kingdom,,,
by,English,United Kingdom,,,
kin,English,United Kingdom,,,
kin,English,United Kingdom,,,
kan,English,United Kingdom,,,
kan,English,United Kingdom,,,
with,English,United Kingdom,,,
down,English,United Kingdom,,,
mind,English,United Kingdom,,,
look,English,United Kingdom,,,
in,English,United Kingdom,,,
gated,English,United Kingdom,,,
sporthaokan,English,United Kingdom,,,
Bothallchoractorschumminaround,English,United Kingdom,,,
inarumdrumstrum,English,United Kingdom,,,
truminahumptadump,English,United Kingdom,,,
waultopoofoolooder,English,United Kingdom,,,
amaunsturnup,English,United Kingdom,,,
caffincoffin,English,United Kingdom,,,
peswchbechos,Welsh,Wales,,,
